# 由 qingjian-dict-convert phrases 从语料相邻词组合挖出（总次数与对话语料次数都 ≥ 2000），读音由成分词拼出。词\t次数\t拼音
想吃	43836	xiang chi
买的	43735	mai de
喜欢你	43631	xi huan ni
都在	43530	dou zai
好吗	43358	hao ma
在一起	43197	zai yi qi
我喜欢	43132	wo xi huan
想你	42961	xiang ni
新年快乐	42532	xin nian kuai le
不见	42195	bu jian
喜欢的	42012	xi huan de
我已经	41791	wo yi jing
等我	41266	deng wo
第一次	41156	di yi ci
你来	41107	ni lai
是谁	40495	shi shui
你想	40180	ni xiang
你可以	40083	ni ke yi
怎么办	39897	zen me ban
是真	39835	shi zhen
都要	39471	dou yao
和我	39227	he wo
看的	39169	kan de
真的是	39139	zhen de shi
回来了	38931	hui lai le
有什么	38712	you shen me
我来	38658	wo lai
过了	38418	guo le
你不是	38264	ni bu shi
想去	38225	xiang qu
让你	38085	rang ni
真好	37210	zhen hao
还能	37167	hai neng
睡了	36998	shui le
啥时候	36511	sha shi hou
才是	36500	cai shi
你家	36499	ni jia
好想	36222	hao xiang
没人	36111	mei ren
我好	35907	wo hao
都没有	35403	dou mei you
我知道	35028	wo zhi dao
要不要	34952	yao bu yao
说了	34915	shuo le
做的	34879	zuo de
在哪里	34747	zai na li
知道你	33922	zhi dao ni
不去	33894	bu qu
瘦了	33713	shou le
对的	33684	dui de
不着	33676	bu zhe
大的	33507	da de
有个	33418	you ge
就会	33388	jiu hui
告诉我	33283	gao su wo
新的	33123	xin de
就好了	33064	jiu hao le
你吃	32915	ni chi
我还是	32746	wo hai shi
你会	32684	ni hui
我就是	32407	wo jiu shi
谢谢你	32297	xie xie ni
一定要	32196	yi ding yao
你也是	32084	ni ye shi
想到	31980	xiang dao
就行	31278	jiu xing
不在	31244	bu zai
去的	31142	qu de
就可以	30986	jiu ke yi
不一样	30942	bu yi yang
她的	30916	ta de
我今天	30771	wo jin tian
也可以	30485	ye ke yi
走了	30481	zou le
找你	30468	zhao ni
应该是	30416	ying gai shi
过的	30298	guo de
也在	29945	ye zai
必须的	29770	bi xu de
怎么了	29687	zen me le
也会	29470	ye hui
他在	29415	ta zai
可能是	29381	ke neng shi
我真	29349	wo zhen
你真	29230	ni zhen
多的	29102	duo de
那么多	29082	na me duo
好吃的	29033	hao chi de
没看	28951	mei kan
会的	28854	hui de
睡不着	28721	shui bu zhe
不来	28628	bu lai
亲爱的	28536	qin ai de
是因为	28526	shi yin wei
我给	28449	wo gei
我一直	28291	wo yi zhi
能不能	28196	neng bu neng
这次	28139	zhe ci
家的	28071	jia de
你现在	27729	ni xian zai
你自己	27726	ni zi ji
我吃	27723	wo chi
上了	27680	shang le
你啊	27566	ni a
发现了	27548	fa xian le
我怎么	27329	wo zen me
因为我	27310	yin wei wo
我自己	27130	wo zi ji
比我	27125	bi wo
其实我	27071	qi shi wo
看到你	26995	kan dao ni
告诉你	26980	gao su ni
是真的	26872	shi zhen de
多人	26863	duo ren
一样的	26790	yi yang de
想看	26632	xiang kan
我只	26239	wo zhi
看到了	26135	kan dao le
不爱	26013	bu ai
我一个	25974	wo yi ge
可以的	25779	ke yi de
有多	25744	you duo
看过	25701	kan guo
不起	25660	bu qi
会不会	25623	hui bu hui
死了	25516	si le
还可以	25496	hai ke yi
不是我	25401	bu shi wo
胖了	25372	pang le
被你	25292	bei ni
我爱	25272	wo ai
是要	25217	shi yao
也觉得	25074	ye jue de
三个	25049	san ge
出来了	24971	chu lai le
大了	24817	da le
不怕	24759	bu pa
不吃	24737	bu chi
这么多	24732	zhe me duo
你咋	24674	ni za
是有	24661	shi you
你说的	24601	ni shuo de
就去	24456	jiu qu
你是不是	24418	ni shi bu shi
对我	24392	dui wo
知道我	24392	zhi dao wo
好呀	24339	hao ya
就在	24314	jiu zai
想说	24240	xiang shuo
一张	24211	yi zhang
帮你	24119	bang ni
我们的	23966	wo men de
还没有	23883	hai mei you
好玩	23779	hao wan
去吃	23771	qu chi
哪有	23599	na you
就知道	23598	jiu zhi dao
爱我	23490	ai wo
玩的	23435	wan de
我以为	23409	wo yi wei
你呢	23391	ni ne
一直在	23375	yi zhi zai
都能	23350	dou neng
以为你	23223	yi wei ni
觉得我	23130	jue de wo
知道了	23084	zhi dao le
真的好	23078	zhen de hao
觉得你	23005	jue de ni
我没有	23002	wo mei you
比你	22941	bi ni
帮我	22922	bang wo
好看的	22919	hao kan de
拍的	22855	pai de
并没有	22853	bing mei you
我可以	22586	wo ke yi
你这个	22582	ni zhe ge
里的	22579	li de
我也觉得	22575	wo ye jue de
想知道	22485	xiang zhi dao
回家了	22454	hui jia le
就有	22431	jiu you
长的	22405	zhang de
是呀	22377	shi ya
不说	22337	bu shuo
有机会	22302	you ji hui
厉害了	22287	li hai le
用的	22202	yong de
没睡	22195	mei shui
更好	22046	geng hao
现在的	22028	xian zai de
一只	21870	yi zhi
是吧	21847	shi ba
可爱的	21739	ke ai de
你能	21715	ni neng
我真的	21660	wo zhen de
不住	21540	bu zhu
要的	21535	yao de
是这样	21494	shi zhe yang
你知道	21482	ni zhi dao
饿了	21458	e le
你这么	21433	ni zhe me
有了	21389	you le
对你	21346	dui ni
一家	21254	yi jia
也没有	21248	ye mei you
我不是	21200	wo bu shi
出来的	21189	chu lai de
还会	21153	hai hui
没吃	21138	mei chi
不给	21081	bu gei
是我的	20967	shi wo de
想我	20947	xiang wo
不开心	20820	bu kai xin
我买	20797	wo mai
好啦	20772	hao la
主要是	20719	zhu yao shi
他是	20719	ta shi
就想	20667	jiu xiang
我啊	20622	wo a
也不知道	20600	ye bu zhi dao
找个	20583	zhao ge
我吗	20560	wo ma
有一个	20423	you yi ge
但是我	20385	dan shi wo
没去	20348	mei qu
太好	20341	tai hao
让人	20287	rang ren
你什么	20264	ni shen me
你给	20243	ni gei
有时候	20120	you shi hou
我也要	20104	wo ye yao
没办法	20057	mei ban fa
就能	20039	jiu neng
很喜欢	20035	hen xi huan
找我	20029	zhao wo
打电话	19982	da dian hua
是啥	19929	shi sha
我能	19862	wo neng
不睡	19854	bu shui
还以为	19836	hai yi wei
我给你	19732	wo gei ni
到时候	19704	dao shi hou
说什么	19681	shuo shen me
很有	19670	hen you
回到	19654	hui dao
不对	19563	bu dui
三年	19527	san nian
来吧	19508	lai ba
对了	19505	dui le
都可以	19405	dou ke yi
挺好的	19403	ting hao de
早就	19402	zao jiu
那天	19286	na tian
所以我	19223	suo yi wo
人在	19059	ren zai
第一个	19032	di yi ge
来说	19008	lai shuo
很久	18971	hen jiu
不可能	18963	bu ke neng
去找	18924	qu zhao
找不到	18921	zhao bu dao
在这	18873	zai zhe
到的	18857	dao de
能吃	18839	neng chi
很棒	18784	hen bang
加油加油	18757	jia you jia you
都好	18756	dou hao
要吃	18752	yao chi
男的	18715	nan de
叫我	18710	jiao wo
没了	18688	mei le
还想	18683	hai xiang
来看	18564	lai kan
你猜	18498	ni cai
快了	18495	kuai le
老了	18445	lao le
不少	18273	bu shao
重要的	18271	zhong yao de
有时间	18176	you shi jian
他们的	18137	ta men de
你这是	18113	ni zhe shi
都说	18088	dou shuo
也就	18075	ye jiu
假的	18063	jia de
不认识	18008	bu ren shi
出了	17987	chu le
每个	17986	mei ge
因为你	17915	yin wei ni
也喜欢	17906	ye xi huan
你回来	17864	ni hui lai
吃过	17850	chi guo
早上好	17839	zao shang hao
好不好	17771	hao bu hao
就说	17747	jiu shuo
不容易	17718	bu rong yi
去吧	17685	qu ba
想的	17619	xiang de
每年	17617	mei nian
太多了	17585	tai duo le
不信	17581	bu xin
不过我	17564	bu guo wo
做了	17509	zuo le
不让	17467	bu rang
人了	17405	ren le
我只是	17338	wo zhi shi
是一种	17294	shi yi zhong
好可爱	17275	hao ke ai
好嘛	17273	hao ma
很快	17256	hen kuai
不出来	17207	bu chu lai
还真	17203	hai zhen
送你	17202	song ni
好久不见	17195	hao jiu bu jian
两人	17160	liang ren
没想	17149	mei xiang
陪你	17115	pei ni
你喜欢	17071	ni xi huan
又是	17068	you shi
大部分	17056	da bu fen
我吧	17035	wo ba
很大	16989	hen da
要看	16979	yao kan
都不知道	16977	dou bu zhi dao
女的	16966	nv de
后的	16935	hou de
到现在	16909	dao xian zai
去哪里	16904	qu na li
要来	16863	yao lai
没看到	16846	mei kan dao
玩了	16773	wan le
你还是	16730	ni hai shi
又要	16687	you yao
说是	16670	shuo shi
你买	16608	ni mai
还行	16566	hai xing
点的	16556	dian de
是怎么	16477	shi zen me
可是我	16460	ke shi wo
我妈	16451	wo ma
一部	16442	yi bu
就是你	16408	jiu shi ni
不需要	16363	bu xu yao
我感觉	16325	wo gan jue
不看	16309	bu kan
希望你	16304	xi wang ni
没有啊	16234	mei you a
你个	16226	ni ge
去过	16204	qu guo
我刚	16192	wo gang
不同的	16115	bu tong de
最好的	16084	zui hao de
最喜欢	15988	zui xi huan
我看到	15910	wo kan dao
晚了	15905	wan le
一起去	15872	yi qi qu
够了	15810	gou le
起来了	15791	qi lai le
年后	15765	nian hou
又不是	15764	you bu shi
是吗	15728	shi ma
年了	15685	nian le
为什么要	15672	wei shen me yao
吃点	15563	chi dian
我跟	15531	wo gen
不上	15475	bu shang
长了	15451	zhang le
两年	15446	liang nian
你觉得	15444	ni jue de
是最	15431	shi zui
写的	15426	xie de
是说	15422	shi shuo
这就是	15412	zhe jiu shi
这么说	15399	zhe me shuo
也不是	15371	ye bu shi
就是我	15369	jiu shi wo
会在	15354	hui zai
喜欢我	15332	xi huan wo
晚上好	15327	wan shang hao
我明天	15302	wo ming tian
不多	15293	bu duo
怎么会	15268	zen me hui
爱的	15232	ai de
你懂	15185	ni dong
行了	15153	xing le
来啊	15149	lai a
最大的	15010	zui da de
哭了	15003	ku le
小仙女	14980	xiao xian nv
下的	14949	xia de
现在在	14949	xian zai zai
好美	14939	hao mei
发的	14875	fa de
在看	14827	zai kan
什么意思	14808	shen me yi si
你就是	14800	ni jiu shi
不是你	14794	bu shi ni
这不是	14772	zhe bu shi
最多	14728	zui duo
不算	14693	bu suan
只想	14691	zhi xiang
久了	14635	jiu le
没说	14621	mei shuo
一定会	14587	yi ding hui
多吃	14557	duo chi
不带	14537	bu dai
而是	14527	er shi
说得	14497	shuo de
就像	14494	jiu xiang
换了	14484	huan le
给他	14461	gei ta
可以去	14432	ke yi qu
你应该	14419	ni ying gai
很好看	14381	hen hao kan
你做	14375	ni zuo
好么	14352	hao me
我带	14349	wo dai
没啥	14349	mei sha
你一个	14344	ni yi ge
都想	14324	dou xiang
一会	14285	yi hui
是想	14283	shi xiang
幸福的	14281	xing fu de
我最近	14246	wo zui jin
还是要	14244	hai shi yao
太大	14200	tai da
下了	14192	xia le
没得	14179	mei de
问我	14138	wen wo
开了	14113	kai le
他说	14085	ta shuo
说好	14078	shuo hao
还得	14077	hai de
它的	14066	ta de
我说的	14064	wo shuo de
不出	14046	bu chu
每个人	14025	mei ge ren
你们的	13958	ni men de
别人的	13926	bie ren de
看出来	13894	kan chu lai
让他	13858	rang ta
在学校	13854	zai xue xiao
我怕	13852	wo pa
过得	13847	guo de
回去了	13841	hui qu le
也不会	13821	ye bu hui
本来就	13724	ben lai jiu
说的是	13710	shuo de shi
小的	13707	xiao de
是你的	13698	shi ni de
再去	13697	zai qu
还不错	13681	hai bu cuo
叫你	13656	jiao ni
我最	13651	wo zui
我不知道	13606	wo bu zhi dao
有可能	13605	you ke neng
开心的	13550	kai xin de
辛苦了	13511	xin ku le
你这样	13507	ni zhe yang
最重要	13470	zui zhong yao
你真的	13390	ni zhen de
也能	13382	ye neng
好用	13365	hao yong
看不到	13351	kan bu dao
好好看	13315	hao hao kan
睡吧	13306	shui ba
一看	13297	yi kan
时候我	13260	shi hou wo
不一定	13248	bu yi ding
好像是	13222	hao xiang shi
有啥	13218	you sha
去买	13188	qu mai
现在是	13175	xian zai shi
一周	13150	yi zhou
不是说	13150	bu shi shuo
好喜欢	13136	hao xi huan
你爱	13112	ni ai
累了	13110	lei le
知道的	13103	zhi dao de
多少钱	13085	duo shao qian
问你	13083	wen ni
好棒	13072	hao bang
我昨天	13066	wo zuo tian
在想	13016	zai xiang
快去	12992	kuai qu
真爱	12971	zhen ai
再来	12955	zai lai
有道理	12953	you dao li
早啊	12934	zao a
在说	12917	zai shuo
不像	12908	bu xiang
会是	12855	hui shi
很想	12835	hen xiang
感觉你	12815	gan jue ni
所以你	12813	suo yi ni
多大	12787	duo da
多好	12762	duo hao
发了	12747	fa le
送我	12747	song wo
四个	12725	si ge
点了	12702	dian le
为什么我	12675	wei shen me wo
高的	12664	gao de
很多人	12647	hen duo ren
你居然	12645	ni ju ran
醒了	12638	xing le
在这里	12579	zai zhe li
很难	12507	hen nan
能说	12503	neng shuo
是小	12497	shi xiao
可能会	12493	ke neng hui
结婚了	12475	jie hun le
为你	12441	wei ni
我觉得我	12392	wo jue de wo
是为了	12388	shi wei le
你最近	12375	ni zui jin
我不会	12372	wo bu hui
好自己	12363	hao zi ji
你给我	12342	ni gei wo
你已经	12339	ni yi jing
情况下	12325	qing kuang xia
都快	12297	dou kuai
知道啊	12280	zhi dao a
想买	12275	xiang mai
我玩	12262	wo wan
在北京	12256	zai bei jing
你玩	12251	ni wan
还不睡	12251	hai bu shui
很美	12227	hen mei
不客气	12222	bu ke qi
去看看	12193	qu kan kan
少了	12182	shao le
我也喜欢	12182	wo ye xi huan
都看	12181	dou kan
这么早	12177	zhe me zao
小哥哥	12169	xiao ge ge
和他	12148	he ta
多个	12141	duo ge
打了	12133	da le
才会	12128	cai hui
很少	12124	hen shao
就行了	12119	jiu xing le
以为是	12103	yi wei shi
我爱你	12103	wo ai ni
你打	12090	ni da
出去玩	12083	chu qu wan
反正我	12079	fan zheng wo
我找	12067	wo zhao
买个	12064	mai ge
好滴	12050	hao di
人是	12045	ren shi
三天	12030	san tian
谢谢啦	12027	xie xie la
个好	12007	ge hao
带来	11991	dai lai
全是	11977	quan shi
喜欢吃	11973	xi huan chi
像你	11972	xiang ni
时的	11958	shi de
好帅	11951	hao shuai
不可以	11926	bu ke yi
一人	11913	yi ren
我做	11910	wo zuo
用了	11870	yong le
不错的	11867	bu cuo de
不好看	11865	bu hao kan
这么好	11847	zhe me hao
这两天	11842	zhe liang tian
要有	11825	yao you
说过	11816	shuo guo
很开心	11812	hen kai xin
我还以为	11783	wo hai yi wei
有啊	11774	you a
谈恋爱	11774	tan lian ai
恭喜恭喜	11772	gong xi gong xi
我对	11763	wo dui
就没有	11750	jiu mei you
你发	11742	ni fa
来找我	11718	lai zhao wo
陪我	11714	pei wo
怎么这么	11706	zen me zhe me
女孩子	11702	nv hai zi
我们一起	11684	wo men yi qi
你俩	11658	ni lia
没有人	11643	mei you ren
一点点	11633	yi dian dian
看电影	11625	kan dian ying
注意安全	11619	zhu yi an quan
也去	11613	ye qu
你带	11606	ni dai
回学校	11601	hui xue xiao
是好	11595	shi hao
胖的	11589	pang de
睡的	11584	shui de
十年	11554	shi nian
掉了	11551	diao le
你为什么	11542	ni wei shen me
可爱了	11527	ke ai le
如果你	11500	ru guo ni
原来你	11466	yuan lai ni
喝了	11442	he le
穿的	11439	chuan de
早点睡	11412	zao dian shui
所有的	11394	suo you de
成了	11390	cheng le
坏了	11386	huai le
我打	11362	wo da
做什么	11351	zuo shen me
知道是	11343	zhi dao shi
就看	11336	jiu kan
只会	11279	zhi hui
不动	11237	bu dong
还说	11229	hai shuo
不大	11205	bu da
做好	11205	zuo hao
你啦	11194	ni la
被我	11155	bei wo
可以啊	11150	ke yi a
好大	11150	hao da
走的	11138	zou de
好好的	11134	hao hao de
我这个	11131	wo zhe ge
不胖	11129	bu pang
注意身体	11115	zhu yi shen ti
懂的	11096	dong de
没想到	11096	mei xiang dao
你啥	11092	ni sha
要给	11080	yao gei
小可爱	11054	xiao ke ai
在那	11047	zai na
都这么	11043	dou zhe me
我还在	11031	wo hai zai
总会	11023	zong hui
美了	11019	mei le
有很多	11017	you hen duo
你今天	10971	ni jin tian
好看了	10968	hao kan le
是自己	10964	shi zi ji
放在	10951	fang zai
想着	10946	xiang zhe
怎么知道	10943	zen me zhi dao
瘦的	10920	shou de
要说	10899	yao shuo
一定是	10896	yi ding shi
意思是	10889	yi si shi
爱吃	10858	ai chi
好喝	10828	hao he
给自己	10812	gei zi ji
跟我说	10802	gen wo shuo
你一样	10793	ni yi yang
我一样	10792	wo yi yang
有那么	10785	you na me
我们这	10767	wo men zhe
我觉得你	10737	wo jue de ni
肯定是	10735	ken ding shi
可怜的	10717	ke lian de
还没睡	10709	hai mei shui
那时候	10691	na shi hou
做到	10652	zuo dao
不晓得	10644	bu xiao de
要做	10641	yao zuo
就走	10608	jiu zou
带上	10587	dai shang
睡觉了	10586	shui jiao le
喜欢的人	10580	xi huan de ren
就这样	10564	jiu zhe yang
看得	10563	kan de
没那么	10561	mei na me
两个人	10530	liang ge ren
不开	10526	bu kai
真的吗	10519	zhen de ma
不睡觉	10514	bu shui jiao
就来	10514	jiu lai
就喜欢	10499	jiu xi huan
我们是	10477	wo men shi
羡慕你	10472	xian mu ni
还不是	10456	hai bu shi
你最	10455	ni zui
你快	10434	ni kuai
并不是	10432	bing bu shi
好好休息	10420	hao hao xiu xi
好有	10420	hao you
这么大	10418	zhe me da
是滴	10407	shi di
我发现	10390	wo fa xian
这就	10387	zhe jiu
什么鬼	10353	shen me gui
不就	10345	bu jiu
点多	10311	dian duo
放假了	10305	fang jia le
都不会	10302	dou bu hui
就不会	10274	jiu bu hui
是大	10255	shi da
你走	10246	ni zou
咋了	10246	za le
会去	10240	hui qu
你不要	10238	ni bu yao
好点	10238	hao dian
我不想	10231	wo bu xiang
冷了	10218	leng le
见了	10217	jian le
你吗	10212	ni ma
都喜欢	10202	dou xi huan
岁的	10201	sui de
吃什么	10197	chi shen me
好累	10195	hao lei
回来的	10194	hui lai de
没时间	10181	mei shi jian
被人	10176	bei ren
喜欢他	10167	xi huan ta
不觉得	10157	bu jue de
回了	10155	hui le
上班了	10152	shang ban le
你哦	10135	ni o
朋友圈	10129	peng you quan
你一起	10122	ni yi qi
好梦	10120	hao meng
在等	10105	zai deng
你跟	10081	ni gen
是对	10068	shi dui
其他的	10064	qi ta de
天的	10036	tian de
回复我	10035	hui fu wo
换个	10027	huan ge
要好好	9994	yao hao hao
我用	9988	wo yong
太好了	9971	tai hao le
你先	9969	ni xian
才有	9966	cai you
才知道	9961	cai zhi dao
个小时	9953	ge xiao shi
我也在	9937	wo ye zai
就这么	9928	jiu zhe me
真好看	9926	zhen hao kan
不理	9921	bu li
这个是	9904	zhe ge shi
就觉得	9888	jiu jue de
我要去	9875	wo yao qu
现在就	9859	xian zai jiu
可以有	9853	ke yi you
觉得自己	9851	jue de zi ji
过去了	9842	guo qu le
时候就	9823	shi hou jiu
美好的	9816	mei hao de
去玩	9810	qu wan
爱上	9791	ai shang
小伙伴	9786	xiao huo ban
我记得	9783	wo ji de
把自己	9756	ba zi ji
我一个人	9745	wo yi ge ren
像我	9736	xiang wo
又去	9725	you qu
人啊	9718	ren a
在外面	9713	zai wai mian
去啊	9705	qu a
她是	9661	ta shi
就睡	9642	jiu shui
能看	9624	neng kan
明明是	9622	ming ming shi
原来是	9621	yuan lai shi
来啦	9621	lai la
秀恩爱	9618	xiu en ai
你多	9614	ni duo
好哒	9602	hao da
没毛病	9586	mei mao bing
又有	9569	you you
不回	9549	bu hui
要买	9542	yao mai
太可爱	9540	tai ke ai
是我们	9539	shi wo men
住了	9534	zhu le
要在	9498	yao zai
我大	9495	wo da
学校的	9470	xue xiao de
有问题	9469	you wen ti
还是你	9464	hai shi ni
一开始	9462	yi kai shi
你那么	9447	ni na me
可以了	9445	ke yi le
个小	9444	ge xiao
你别	9444	ni bie
照顾好	9441	zhao gu hao
我先	9435	wo xian
你比	9430	ni bi
开心就	9389	kai xin jiu
都知道	9387	dou zhi dao
会说	9383	hui shuo
看到的	9378	kan dao de
会好	9364	hui hao
我朋友	9348	wo peng you
早点休息	9343	zao dian xiu xi
漂亮的	9340	piao liang de
一起加油	9336	yi qi jia you
天了	9313	tian le
没有了	9311	mei you le
特别是	9306	te bie shi
看不懂	9287	kan bu dong
在那里	9286	zai na li
这是我	9276	zhe shi wo
好漂亮	9270	hao piao liang
吃东西	9248	chi dong xi
这么晚	9248	zhe me wan
怎么可能	9241	zen me ke neng
剪了	9239	jian le
只有我	9215	zhi you wo
我爸	9206	wo ba
毕业了	9177	bi ye le
吃火锅	9169	chi huo guo
就开始	9166	jiu kai shi
感冒了	9153	gan mao le
快回来	9152	kuai hui lai
跟你说	9123	gen ni shuo
怕你	9112	pa ni
你没有	9104	ni mei you
看见你	9095	kan jian ni
有这么	9088	you zhe me
不清楚	9085	bu qing chu
我帮	9065	wo bang
你以为	9044	ni yi wei
对自己	9044	dui zi ji
看到我	9041	kan dao wo
我什么	9002	wo shen me
就是这样	8996	jiu shi zhe yang
还记得	8991	hai ji de
不知道你	8971	bu zhi dao ni
不应该	8966	bu ying gai
人说	8962	ren shuo
你发现	8961	ni fa xian
节日快乐	8951	jie ri kuai le
想多	8930	xiang duo
玩啊	8925	wan a
一说	8923	yi shuo
这话	8921	zhe hua
怎么说	8919	zen me shuo
那就是	8915	na jiu shi
一大	8893	yi da
一段时间	8868	yi duan shi jian
我得	8862	wo de
很不错	8859	hen bu cuo
我呢	8838	wo ne
她在	8832	ta zai
什么啊	8827	shen me a
人多	8819	ren duo
会让	8813	hui rang
就吃	8804	jiu chi
我一起	8793	wo yi qi
好幸福	8779	hao xing fu
让我们	8776	rang wo men
以前的	8774	yi qian de
就不要	8771	jiu bu yao
很好吃	8757	hen hao chi
不适合	8744	bu shi he
好看啊	8739	hao kan a
我以为你	8727	wo yi wei ni
又来	8723	you lai
不起来	8721	bu qi lai
今天的	8713	jin tian de
我的天	8710	wo de tian
谁说	8709	shui shuo
不清	8703	bu qing
更好的	8701	geng hao de
就不能	8687	jiu bu neng
知道怎么	8680	zhi dao zen me
您的	8676	nin de
起来的	8669	qi lai de
你在哪	8665	ni zai na
你啥时候	8664	ni sha shi hou
全世界	8660	quan shi jie
不冷	8647	bu leng
我看看	8642	wo kan kan
什么了	8629	shen me le
不存在	8613	bu cun zai
好开心	8605	hao kai xin
吃到	8603	chi dao
你呀	8602	ni ya
单身狗	8599	dan shen gou
还挺	8595	hai ting
买到	8589	mai dao
可以在	8585	ke yi zai
做个	8581	zuo ge
好多人	8548	hao duo ren
出现在	8542	chu xian zai
其实是	8531	qi shi shi
我这么	8521	wo zhe me
我以前	8512	wo yi qian
快乐啊	8503	kuai le a
不好吃	8502	bu hao chi
会更	8496	hui geng
我等	8490	wo deng
忍不住	8489	ren bu zhu
都觉得	8487	dou jue de
才发现	8486	cai fa xian
说出来	8486	shuo chu lai
我好像	8474	wo hao xiang
睡着了	8471	shui zhao le
也不错	8464	ye bu cuo
我之前	8464	wo zhi qian
一首	8459	yi shou
什么事	8458	shen me shi
穿了	8455	chuan le
难道你	8445	nan dao ni
要多	8427	yao duo
不下去	8421	bu xia qu
我是不是	8421	wo shi bu shi
真正的	8419	zhen zheng de
也看	8401	ye kan
什么好	8392	shen me hao
而不是	8388	er bu shi
有木有	8380	you mu you
想让	8358	xiang rang
给了	8351	gei le
一百	8343	yi bai
喜欢你的	8338	xi huan ni de
都给	8338	dou gei
也爱	8336	ye ai
好羡慕	8332	hao xian mu
都不想	8326	dou bu xiang
世界上	8309	shi jie shang
你对	8309	ni dui
花了	8309	hua le
来呀	8292	lai ya
这张	8291	zhe zhang
看来你	8259	kan lai ni
怎么能	8253	zen me neng
长大了	8247	zhang da le
可以吗	8237	ke yi ma
认识的	8223	ren shi de
总有	8221	zong you
好呢	8189	hao ne
工作了	8188	gong zuo le
在上海	8182	zai shang hai
认识你	8180	ren shi ni
可以看	8172	ke yi kan
说呢	8172	shuo ne
想了	8171	xiang le
上有	8170	shang you
那就好	8169	na jiu hao
我这里	8166	wo zhe li
也不想	8146	ye bu xiang
在哪儿	8144	zai na er
变了	8134	bian le
然后就	8122	ran hou jiu
住在	8119	zhu zai
尤其是	8119	you qi shi
我每天	8118	wo mei tian
也不能	8116	ye bu neng
棒了	8112	bang le
我回来	8107	wo hui lai
请你吃	8104	qing ni chi
吃个	8101	chi ge
好朋友	8101	hao peng you
不怎么	8092	bu zen me
说实话	8086	shuo shi hua
几年	8085	ji nian
开心就好	8076	kai xin jiu hao
你得	8071	ni de
我吃饭	8068	wo chi fan
点就	8068	dian jiu
看不见	8057	kan bu jian
存在的	8051	cun zai de
要注意	8045	yao zhu yi
虽然我	8037	sui ran wo
都吃	8034	dou chi
又在	8028	you zai
一片	8026	yi pian
这部	8007	zhe bu
能有	8004	neng you
工作的	7997	gong zuo de
吃啊	7994	chi a
第二天	7991	di er tian
好的好	7968	hao de hao
能在	7963	neng zai
能让	7944	neng rang
我睡	7929	wo shui
下雨了	7926	xia yu le
结束了	7920	jie shu le
太美	7917	tai mei
要跟	7910	yao gen
懂了	7906	dong le
你吧	7902	ni ba
你是我	7894	ni shi wo
我可能	7894	wo ke neng
不叫	7884	bu jiao
什么呢	7882	shen me ne
不就是	7879	bu jiu shi
两种	7878	liang zhong
比较好	7866	bi jiao hao
一波	7854	yi bo
也得	7852	ye de
谁啊	7851	shui a
跟他	7850	gen ta
不小心	7846	bu xiao xin
这样啊	7844	zhe yang a
我发	7838	wo fa
那必须	7837	na bi xu
